$M<<0>ll,24,,36
,4D,,77
,3C,,60
,00,,0
,6C,,108
,6C,,108
,,,
$M<<0>kk,24,,36
,4D,,77
,3C,,60
,00,,0
,6B,,107
,6B,,107
,,,
$M<<0>jj,24,,36
,4D,,77
,3C,,60
,00,,0
,6A,,106
,6A,,106
,,,
$M<<0>nn,24,,36
,4D,,77
,3C,,60
,00,,0
,6E,,110
,6E,,110
,,,
$M<<0>ee,24,,36
,4D,,77
,3C,,60
,00,,0
,65,,101
,65,,101
